country,countrycode,gdb_cc,gdb_ci,gdb_ea,gdb_gf,gdb_lm,gdb_pf,gdb_pi,gdb_pp,wgi_cc,wgi_ge,wgi_pv,wgi_rl,wgi_rq,wgi_va,all_cc,all_ci,all_ea,all_gf,all_lm,all_pf,all_pi,all_pp
Nigeria,NGA,32.18,55.57,19,49.49,0,30.35,26.08,65.96,-1.040974,-.8479067,-1.768438,-.8876893,-.9368652,-.5482582,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Panama,PAN,68.14,34.9,13.33,62.47,44.55,79.75,37.86,86.51,-.6280942,-.2097207,.2131018,-.3459812,.1187828,.5475498,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Peru,PER,66.23,31.34,68.33,58.91,56.34,66.81,42.91,88.54,-.7210409,-.4918728,-.5217856,-.5381327,.2922052,.0604815,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Paraguay,PRY,52.09,22.67,8,62.97,39.63,79.93,47.34,93.44,-1.057723,-.4620654,.0820416,-.5821746,-.0789393,.0420243,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Rwanda,RWA,24.03,17.34,14,55.37,32.95,47.88,12.12,81.2,.6716531,.3883626,.1080915,.2051505,.1247175,-.9023283,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Senegal,SEN,24.41,24.75,0,54.36,0,44.71,9.28,65.83,.0578322,.0696752,-.1385914,-.2736329,-.3450795,.1339766,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Sierra Leone,SLE,9.69,0,22,15.92,18.1,50.53,18.93,64.47,-.5745578,-1.155584,-.2386887,-.8329633,-1.06418,-.2963923,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
El Salvador,SLV,19.89,0,0,29.7,0,43.39,25.6,38.13,-.5613151,.050439,.0023324,-.3693573,-.3079054,-.4744367,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Togo,TGO,14.69,38.1,11,40.06,0,37.67,9.44,59.61,-.619175,-.578052,-.9541951,-.5274997,-.4932302,-.7827079,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Trinidad and Tobago,TTO,22.21,27.9,16,38.73,0,35.14,16.2,43.75,-.3741485,-.0436433,.4013624,-.2835856,-.130735,.6207089,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Tunisia,TUN,54.62,33.07,14,51.14,0,24.95,24.43,50.88,-.3418998,-.3005151,-.6309511,-.1389832,-.6191326,-.212897,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Uganda,UGA,22.12,32.97,36.66,52.91,9.92,67.99,22.75,92.38,-1.042575,-.5495086,-.6955061,-.4749258,-.5173653,-.6958452,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Uruguay,URY,84.69,16,73.34,84.11,60.6,65.9,46,78.13,1.573947,.8502497,.9648871,.7176626,.6751111,1.283794,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
South Africa,ZAF,18.06,38.9,40,82.24,55.95,90.18,30.56,87.76,-.2846704,-.2569467,-.665642,.0862351,-.2236979,.7448922,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
